"""p""","""sumP"""
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":98,""class"":""firstClass"",""idf"":95},{""name"":""LGA""}]",2835.45
"[{""name"":""LAX""},{""idt"":660,""class"":""economy"",""idf"":659},{""name"":""LAS""},{""name"":""LAS""},{""idt"":362,""class"":""firstClass"",""idf"":359},{""name"":""IAD""}]",2753.5499999999997
"[{""name"":""LAX""},{""idt"":1008,""class"":""economy"",""idf"":1007},{""name"":""SMF""},{""name"":""SMF""},{""idt"":181,""class"":""business"",""idf"":179},{""name"":""DEN""}]",1240.75
"[{""name"":""LAX""},{""idt"":998,""class"":""firstClass"",""idf"":995},{""name"":""SMF""},{""name"":""SMF""},{""idt"":181,""class"":""business"",""idf"":179},{""name"":""DEN""}]",1417.6
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":720,""class"":""economy"",""idf"":719},{""name"":""CRP""}]",1230
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":80,""class"":""economy"",""idf"":79},{""name"":""EWR""}]",2801.3999999999996
"[{""name"":""LAX""},{""idt"":1006,""class"":""firstClass"",""idf"":1003},{""name"":""SMF""},{""name"":""SMF""},{""idt"":180,""class"":""economy"",""idf"":179},{""name"":""DEN""}]",1183.5
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""}]",1070.25
"[{""name"":""LAX""},{""idt"":136,""class"":""economy"",""idf"":135},{""name"":""EWR""},{""name"":""EWR""},{""idt"":148,""class"":""economy"",""idf"":147},{""name"":""ORD""}]",2472.75
"[{""name"":""LAX""},{""idt"":933,""class"":""business"",""idf"":931},{""name"":""ABQ""}]",705
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":722,""class"":""firstClass"",""idf"":719},{""name"":""CRP""}]",1682.6
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":717,""class"":""business"",""idf"":715},{""name"":""CRP""}]",1641
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":732,""class"":""economy"",""idf"":731},{""name"":""CRP""}]",1231.5
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":726,""class"":""firstClass"",""idf"":723},{""name"":""CRP""}]",1325.85
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":742,""class"":""firstClass"",""idf"":739},{""name"":""CRP""}]",1967.9999999999998
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":90,""class"":""firstClass"",""idf"":87},{""name"":""MCO""}]",2780.3999999999996
"[{""name"":""LAX""},{""idt"":996,""class"":""economy"",""idf"":995},{""name"":""SMF""}]",294.75
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":81,""class"":""business"",""idf"":79},{""name"":""EWR""}]",2879
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":236,""class"":""economy"",""idf"":235},{""name"":""MCO""}]",2093.75
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":238,""class"":""firstClass"",""idf"":235},{""name"":""MCO""}]",2779.2
